snapshot,time_star,marker_over_R,D_reference_mode_amp_over_R,D_reference_mode_spatial_corr,D_reference_mode_projection_fraction,D_uniform_amp_over_R,D_uniform_spatial_corr,D_uniform_projection_fraction,MA_reference_mode_amp_over_R,MA_reference_mode_spatial_corr,MA_reference_mode_projection_fraction,MA_uniform_amp_over_R,MA_uniform_spatial_corr,MA_uniform_projection_fraction,TTR_reference_mode_amp_over_R,TTR_reference_mode_spatial_corr,TTR_reference_mode_projection_fraction,TTR_uniform_amp_over_R,TTR_uniform_spatial_corr,TTR_uniform_projection_fraction,P_reference_mode_amp_over_R,P_reference_mode_spatial_corr,P_reference_mode_projection_fraction,P_uniform_amp_over_R,P_uniform_spatial_corr,P_uniform_projection_fraction
1,0.0,0.0010307481113351372,0.0008115703523991716,0.23366404581081468,0.0545988863046785,0.0010333115621725352,0.2922934662021253,0.08543547038445298,0.0016742923023064234,0.37012315027951775,0.13699114637283452,0.0019172602969033897,0.37380081805268944,0.13972705157685986,0.0011595699326372542,0.16633626205491742,0.027667752074402162,0.0008352257266207638,0.11485299400488015,0.013191210231885037,0.0012328696228087758,0.2955109575401487,0.08732672602629558,0.001419820144247258,0.3518373337495616,0.12378950942000043
2,0.23969512536633195,0.0010762331743750506,0.0008340849420556306,0.2455835564363441,0.060311283191923006,0.0009510162092995309,0.275105341303378,0.0756829488136481,-0.00013829537543457249,-0.035447925470606656,0.001256555420169684,0.0004916224407342423,0.11113710098829675,0.012351455216082871,-0.0003456615106927022,-0.04838619596152419,0.002341223959627019,0.00024260748393105743,0.03255540601516805,0.0010598544608124401,0.0005749406679324433,0.15683266546976776,0.024596484958352087,0.0009818381635440237,0.276888904770127,0.07666746558480046
3,0.4793902507326639,0.0008852216200625699,0.0009254695747584324,0.2727387327681803,0.07438641635199288,0.0009470807969275393,0.27421663889114073,0.07519476504475427,0.0007214311791423931,0.18506028088435267,0.034247307560995505,0.00087142246060511,0.19714749253223018,0.03886713381174576,0.0009431629728356437,0.1380043868697438,0.019045210795293914,0.0007718813825452046,0.10826926318119046,0.011722233349797884,0.0007954410467364366,0.2113044627773887,0.044649575989640845,0.0008507566821537382,0.23364591406351193,0.054590413158574
4,0.7190853760989958,0.0009711260447932856,0.0009520137794942448,0.25567418941154957,0.06536929113125291,0.001632355902064104,0.43070568775955664,0.1855073894684327,-0.0006039855896399027,-0.14480513950740695,0.02096852842775959,-0.00035539966321805426,-0.07514820482837725,0.005647252688927741,-0.0012561958813252134,-0.18850161206532567,0.03553285775122654,-0.0011242907248720142,-0.16172784409903096,0.02615589555692046,0.0006803901097071121,0.16019092110106425,0.025661131203207392,0.0012721419655761573,0.3096475414474113,0.09588159992442631
5,0.9587805014653278,-8.903727889314788e-05,0.0008944442359815562,0.20783734911259097,0.04319636368614902,0.0015669947768793798,0.35773379806833155,0.1279734702803938,-0.0011254649151195408,-0.21455571049194877,0.04603415290470494,-0.0010768684995278348,-0.18105686209457542,0.0327815873115341,-0.0016152853877782589,-0.18668066869120423,0.034849672062995156,-0.0015141607835923473,-0.16775309567330826,0.028141101107978114,9.602769472973566e-06,0.0021345030096088595,4.55610309802928e-06,0.0006199489987744284,0.1424650652605147,0.02029629481968271
6,1.1984756268316596,-0.0003916853750889159,0.0006012730409613622,0.176633394384544,0.03119935601180586,0.0012532867791781599,0.3617209319264213,0.13084203259371868,-0.00040902794914225883,-0.09744800676226359,0.009496114021938168,-0.00021647899033344593,-0.045486228481565215,0.002068996981477155,-0.0006834421598553501,-0.09288391127570521,0.008627420973873076,2.2115140353238184e-05,0.0028812231459927587,8.301446817004409e-06,0.000194586490297824,0.054269161731619074,0.002945141915052628,0.0008078551560831141,0.23293035024162267,0.054256548063685
7,1.4381707521979916,-0.0006890467376524733,-0.00019779848222588984,-0.061830922085120046,0.0038230629258961856,0.00010143029931834761,0.031151041779833737,0.0009703874039689471,0.0006000841203025268,0.15395155895233678,0.023701082503854824,0.0010118033196974791,0.22893503282675018,0.05241124925538518,0.001448057911452675,0.21610186432044304,0.04670001576277118,0.0014946515359272766,0.21382624112609427,0.045721661394114606,0.00017039583487285555,0.044798315251615914,0.002006889049383163,0.0007366395269624838,0.20022111507214943,0.0400884949207349
8,1.6778658775643236,0.000938386752085889,0.0005679564129223045,0.17265538185045587,0.029809880881926733,0.0006151721357169844,0.18373160477331352,0.03375730259257709,0.001150191035759153,0.25879062995801466,0.06697259015406606,0.0015919575754017676,0.3159033695648893,0.09979493890245104,0.0012106913721242805,0.17265778827278155,0.02981071185124866,0.0017337717646806142,0.2370244337762766,0.05618058220696453,0.0011868232944213764,0.2953715682035832,0.08724436330304398,0.0013079895987180743,0.3365418420399449,0.11326041144363924
9,1.9175610029306556,0.0011647173040680973,0.000577299683331849,0.15763971074534244,0.02485027840387523,0.0009561267007358032,0.2565085562561927,0.06579663943263636,0.0013182552844935346,0.32369493588355336,0.1047784115166577,0.0015110066639773924,0.3272253666069079,0.10707644055102525,0.001570510904507917,0.22972856490896187,0.05277521353513111,0.0012040875916330318,0.16884203979355036,0.028507634401646848,0.0011464883329767156,0.2774333776878926,0.07696927905531287,0.001309112801552591,0.32750526764788257,0.10725970033711117
10,2.1572561282969875,0.001072163431759077,0.0012318336339164737,0.3579010139358942,0.12809313577634113,0.001384699964074555,0.39526526536857853,0.15623463000689278,0.0002728236409323634,0.060683536700997485,0.0036824916265413093,0.0010059656569829907,0.1973405058658925,0.03894327525540635,0.0009245235510236917,0.11406806170613419,0.013011522701394438,0.002235163429637048,0.2643649239477304,0.06988881301388929,0.0006052053319922094,0.15587781285684052,0.0242978925410322,0.001094203096789898,0.29136115335140594,0.08489132168226149
11,2.3969512536633193,-0.0008185546857034604,-0.00032345997155387615,-0.09879045946945095,0.00975955488218523,-0.0001791793098403585,-0.05376559057381145,0.002890738729750723,0.00024107352254518007,0.0571049625856956,0.0032609767519136937,0.0007535609184852489,0.15742978541116703,0.024784137334606104,0.0007222918701693083,0.1047224600352465,0.0109667936358338,0.0008575206564070805,0.11918460604746293,0.01420497031868894,-0.0005474572110920324,-0.16201759221259754,0.026249700186367547,-0.0004602891414098968,-0.14082990062509942,0.01983306091007538
12,2.6366463790296515,5.644277026383609e-05,8.93680009418329e-05,0.026319655446400834,0.0006927242628172571,0.0002953270793310415,0.08545225472765039,0.007302087838039247,-7.646832323419648e-05,-0.017336394181114538,0.00030055056320298193,0.00024058595452720592,0.04810516121890049,0.0023141065358964078,-0.0008220016574741548,-0.1096819257692801,0.012030124840457866,6.638633018625068e-05,0.008491599472914673,7.210726160840477e-05,-0.00019670840749867172,-0.05135721042860198,0.0026375630630077035,-0.00016307241960157023,-0.04401606038970667,0.0019374135722303048
13,2.8763415043959832,0.0007637304334109671,0.000644808613958099,0.17151854567575722,0.02941861151072682,0.00040535684323275483,0.10593509588824855,0.011222244540852414,0.0009040692979597673,0.2070500329803865,0.04286971615717914,0.0006090203799734054,0.12301260291339083,0.015132100475527571,0.0012006883961732712,0.16972845235859593,0.028807747540044167,0.0004401541081566275,0.05964548348147789,0.0035575836997392527,0.0005223854262400372,0.1332319870469113,0.01775076237246834,0.0001427939479861088,0.037651250434670464,0.0014176166592942726
14,3.1160366297623154,0.00046186031921297406,0.0005172934317798169,0.15411185171627673,0.02375046283941967,9.21466427882458e-05,0.026971226206978494,0.0007274470431080036,-0.0007983164977292151,-0.17355984496367072,0.03012301978381342,-0.0015071759669813114,-0.2889896630863049,0.08351502537073605,-0.0017310565822215142,-0.2245724189814018,0.05043277136715826,-0.002806126617086954,-0.348980276553331,0.1217872334232394,-0.0001731123814270671,-0.04580998137729152,0.0020985543937877956,-0.0005305754430817626,-0.14515475930215194,0.021069904148065668
15,3.355731755128647,-0.0004535917566865694,-0.0005605729854383544,-0.15485932716469367,0.023981411209901632,-0.001387673131491083,-0.3766296289577043,0.14184987740881796,-0.00015798276326052074,-0.03449260754031141,0.0011897399749299473,-0.0006584036610954369,-0.1267805867928856,0.016073317187548397,-0.00010106351613065305,-0.014752049529111194,0.00021762296530934979,-0.0010007057849482786,-0.14002733851544746,0.01960765553171972,-0.0005783352468131078,-0.14855712314949446,0.022069218838454068,-0.0013656451410530973,-0.3626634872069357,0.1315248049530952
