case,Kn,variable,xi_shift,median_projection_fraction
Kn0p050,0.05,D,-1.0,0.007681151275006256
Kn0p050,0.05,D,-0.5,0.007616567745409929
Kn0p050,0.05,D,0.0,0.006722294487422295
Kn0p050,0.05,D,0.5,0.014226266186861233
Kn0p050,0.05,D,1.0,0.02138615950809805
Kn0p050,0.05,MA,-1.0,0.006976016107017938
Kn0p050,0.05,MA,-0.5,0.008769128912220026
Kn0p050,0.05,MA,0.0,0.010620718208726922
Kn0p050,0.05,MA,0.5,0.01049911726342286
Kn0p050,0.05,MA,1.0,0.011335657125492699
Kn0p050,0.05,TTR,-1.0,0.003722129097659723
Kn0p050,0.05,TTR,-0.5,0.0033182284266262373
Kn0p050,0.05,TTR,0.0,0.0046392491812489115
Kn0p050,0.05,TTR,0.5,0.004419507607266417
Kn0p050,0.05,TTR,1.0,0.00936910595584671
Kn0p050,0.05,P,-1.0,0.007129875396610318
Kn0p050,0.05,P,-0.5,0.0062122161657611075
Kn0p050,0.05,P,0.0,0.007698280299727694
Kn0p050,0.05,P,0.5,0.007337461785866067
Kn0p050,0.05,P,1.0,0.00949989332086254
