case,Kn,variable,template,field_marker_corr,field_marker_corr_q025,field_marker_corr_median,field_marker_corr_q975,circular_shift_pvalue,median_abs_spatial_corr,median_projection_fraction,amplitude_std_over_R,marker_std_over_R,lag1_phi,tau_star
Kn0p01,0.01,D,reference_mode,0.9460943866291178,0.9209209970779311,0.9446007139166626,0.9620997347260121,0.005405405405405406,0.22990973463400474,0.052875566615439386,0.00048158788950504434,0.0005501821864235213,0.718682472196059,0.8718405237001314
Kn0p01,0.01,MA,reference_mode,0.755352531221778,0.670479170945313,0.7524124586340374,0.821187409276178,0.005405405405405406,0.1516196970792218,0.022988645142115002,0.0005115245880557297,0.0005501821864235213,0.585137645704962,0.5374055060161439
Kn0p01,0.01,TTR,reference_mode,0.707383166536436,0.5987188462556392,0.702339443610716,0.7768663885272714,0.005405405405405406,0.11122682475395881,0.01237143777765802,0.0005370005829153037,0.0005501821864235213,0.4839372426726116,0.39680350277433374
Kn0p01,0.01,P,reference_mode,0.9013340331984878,0.844676210676483,0.8995384144833861,0.9281424904198142,0.005405405405405406,0.200611399614036,0.04026327724066621,0.00047685358199355053,0.0005501821864235213,0.7395341128103097,0.9544803409360403
Kn0p025,0.025,D,reference_mode,0.7896501088792922,0.7225433230945832,0.7927357138775808,0.8472850480551721,0.005405405405405406,0.1537905256877891,0.023651629041743095,0.0006809735706705115,0.0008515357630934773,0.5775368026481538,0.4366165743997875
Kn0p025,0.025,MA,reference_mode,0.3953027881908724,0.25269101809520556,0.3929648152535464,0.5116686544510363,0.005405405405405406,0.13138854252670784,0.01726295582099887,0.000790346650881518,0.0008515357630934773,0.5039009777209542,0.34972817721184907
Kn0p025,0.025,TTR,reference_mode,0.2733541668301866,0.15544960325377355,0.2669307584213737,0.37091769515923656,0.005405405405405406,0.09865311303524193,0.009734280816053046,0.0009714875565096968,0.0008515357630934773,0.336752240360326,0.22022547337717288
Kn0p025,0.025,P,reference_mode,0.7270855953407673,0.6516450530551476,0.7242025937717265,0.7880752997264281,0.005405405405405406,0.12651768984552483,0.01600676992478458,0.0006738748065962694,0.0008515357630934773,0.6032228794652345,0.4742038520384457
Kn0p050,0.05,D,reference_mode,0.18284881012636936,0.05388786208345607,0.19634682071451331,0.33955891882276606,0.016216216216216217,0.08198646587840183,0.006722294487422295,0.0006470972615251117,0.001364383250497146,0.43248451121886433,0.5140207601416215
Kn0p050,0.05,MA,reference_mode,0.3250267232740329,0.1792498873377197,0.31520804410988834,0.43267669383973245,0.005405405405405406,0.10305608592292713,0.010620718208726922,0.00108973708638819,0.001364383250497146,0.5442773807005276,0.7083007528770247
Kn0p050,0.05,TTR,reference_mode,0.16434275840799237,0.033626638016902355,0.16286437856798158,0.28389551433217364,0.02702702702702703,0.0681118653805059,0.0046392491812489115,0.000799589232417973,0.001364383250497146,0.18600560616182166,0.2561606558754464
Kn0p050,0.05,P,reference_mode,0.5099167030945844,0.42833453268350086,0.512422199971351,0.6046089070336409,0.005405405405405406,0.08773979358859277,0.007698280299727694,0.0009885870279777087,0.001364383250497146,0.48191275793135124,0.5902209882859448
