case,criterion,reference_global_std_R,false_positive_rate,power_at_reference_amplitude,U90_over_reference,U95_over_reference,conservative_U90_over_reference,max_power
Kn0p025,reference,0.0005707853856774,0.0,0.89,1.03125,1.1875,1.2119803317770168,1.0
Kn0p025,uniform,0.0005707853856774,0.0,0.89,1.03125,1.1875,1.2119803317770168,1.0
Kn0p050,reference,0.0005707853856774,0.0,0.0,5.000000000000001,5.833333333333333,5.9776553037772775,0.96
Kn0p050,uniform,0.0005707853856774,0.0,0.0,5.000000000000001,5.833333333333333,5.9776553037772775,0.96
Kn0p075,reference,0.0005707853856774,0.0,0.0,5.333333333333334,5.703703703703703,5.715888618978387,0.99
Kn0p075,uniform,0.0005707853856774,0.0,0.0,5.333333333333334,5.703703703703703,5.715888618978387,0.99
Kn0p10,reference,0.0005707853856774,0.0,0.0,,,,0.87
Kn0p10,uniform,0.0005707853856774,0.0,0.0,,,,0.87
Kn0p15,reference,0.0005707853856774,0.0,0.0,,,,0.12
Kn0p15,uniform,0.0005707853856774,0.0,0.0,,,,0.12
