case,Kn,run,n_snapshots,physical_window_valid_fraction,s_marker_over_R,delta_over_R,E1,C10,N90,N95,dmd_max_abs_lambda,dmd_max_growth
Kn0p01,0.01,common200_D,200,1.0,0.4616100049066695,0.1225139871907516,0.0604206558310858,0.2893594213923874,117,146,0.7947203689285769,-0.7977950118006978
Kn0p01,0.01,common200_MA,200,1.0,0.4616100049066695,0.1225139871907516,0.0349279760998762,0.2449742652683901,124,151,0.4618212996570643,-2.68255993057237
Kn0p01,0.01,common200_multivariate,200,1.0,0.4616100049066695,0.1225139871907516,0.0432314588950892,0.2190822707087803,146,169,0.7329368833623785,-1.078804472516719
Kn0p01,0.01,common200_P,200,1.0,0.4616100049066695,0.1225139871907516,0.0770122915510894,0.3290495607145215,108,137,0.7118552109871679,-1.1801414708498834
Kn0p01,0.01,common200_TRT,200,1.0,0.4616100049066695,0.1225139871907516,0.0487964615286965,0.3015363395137342,116,144,0.6112724340472426,-1.7090713088499123
Kn0p01,0.01,common200_TTR,200,1.0,0.4616100049066695,0.1225139871907516,0.0505910256371124,0.3250567389425302,114,144,0.5709227863277708,-1.9461850826920424
Kn0p025,0.025,common200_D,200,1.0,0.4680405829390544,0.2235438103884916,0.0333010116280496,0.2250202066202295,134,160,0.6518070798808454,-1.7856293486931192
Kn0p025,0.025,common200_MA,200,1.0,0.4680405829390544,0.2235438103884916,0.0281713607976073,0.1949268126040404,140,165,0.5737053681810114,-2.3181085115797955
Kn0p025,0.025,common200_multivariate,200,1.0,0.4680405829390544,0.2235438103884916,0.0234255097972519,0.1487439729622034,157,176,0.6794838873444458,-1.612138576447389
Kn0p025,0.025,common200_P,200,1.0,0.4680405829390544,0.2235438103884916,0.0409063761423938,0.2302351494738021,130,157,0.6549841786351118,-1.7653433616869294
Kn0p025,0.025,common200_TRT,200,1.0,0.4680405829390544,0.2235438103884916,0.0331197152065032,0.2106962717687532,135,161,0.5568609878943191,-2.4424344976114725
Kn0p025,0.025,common200_TTR,200,1.0,0.4680405829390544,0.2235438103884916,0.0397363640664352,0.2296991748636512,136,162,0.4880096222648253,-2.993052755958812
Kn0p050,0.05,common200_D,200,1.0,0.4941506806668268,0.3594090633999095,0.0277866276027933,0.1989997675551104,140,164,0.5266395703670658,-1.4882880584935316
Kn0p050,0.05,common200_MA,200,1.0,0.4941506806668268,0.3594090633999095,0.0218235544862435,0.1605869893635039,150,172,0.5219713491628832,-1.5089531369383242
Kn0p050,0.05,common200_multivariate,200,1.0,0.4941506806668268,0.3594090633999095,0.0162696546552694,0.121183360768722,162,179,0.6708756940806835,-0.926459789563162
Kn0p050,0.05,common200_P,200,1.0,0.4941506806668268,0.3594090633999095,0.0315743393138487,0.1940690857368756,140,165,0.5971384061954429,-1.196700313984192
Kn0p050,0.05,common200_TRT,200,1.0,0.4941506806668268,0.3594090633999095,0.0247349649347959,0.1717104381198006,145,168,0.565264395577888,-1.324017223223254
Kn0p050,0.05,common200_TTR,200,1.0,0.4941506806668268,0.3594090633999095,0.0271671807277314,0.1821339809427422,147,170,0.5237867413367377,-1.500894959985953
Kn0p075,0.075,common200_D,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.0304163835959495,0.2154935067446189,139,164,0.5682730373823922,-1.1506386518633238
Kn0p075,0.075,common200_MA,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.0185029801355245,0.1386130270358451,155,175,0.611794757137102,-1.0003940704894725
Kn0p075,0.075,common200_multivariate,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.018073077419485,0.1183869946613908,164,181,0.6160276025480409,-0.9863561979419994
Kn0p075,0.075,common200_P,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.0374066682456949,0.1947127940414992,144,168,0.5792781245200599,-1.111587176351615
Kn0p075,0.075,common200_TRT,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.0234149451585628,0.157719681104172,150,172,0.5340209818351952,-1.277208928913638
Kn0p075,0.075,common200_TTR,200,0.9983333333333332,0.5189121329282387,0.4703676750351745,0.0286456795241592,0.1679031703483395,152,173,0.5722380354192013,-1.136482411599559
Kn0p10,0.1,common200_D,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0326766354718443,0.2149425585085675,141,166,0.6503319598949582,-1.166049698993106
Kn0p10,0.1,common200_MA,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0132702849813548,0.1158199711515531,158,177,0.6924268952436874,-0.9960775418110576
Kn0p10,0.1,common200_multivariate,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0145359635755693,0.1108191527385151,165,181,0.7572605764003696,-0.7535172420544467
Kn0p10,0.1,common200_P,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0272479998700226,0.1756216668073371,148,170,0.746461279193767,-0.792443179265286
Kn0p10,0.1,common200_TRT,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0181406928212137,0.1411142880711058,154,174,0.6515834606714175,-1.160839526333176
Kn0p10,0.1,common200_TTR,200,0.9793589743589745,0.53769638217866,0.5610592038390809,0.0203121945510313,0.1426823679974259,156,175,0.6863738209882791,-1.0198722794622153
Kn0p15,0.15,common200_D,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0362976260898108,0.2153577574535742,143,168,0.665220893562957,-1.0475092997254778
Kn0p15,0.15,common200_MA,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0131676217864088,0.1107471797232773,160,178,0.7641137776307444,-0.6913528905030601
Kn0p15,0.15,common200_multivariate,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0146750097248397,0.1045765387154131,167,182,0.8128513668812166,-0.5324632789060476
Kn0p15,0.15,common200_P,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0249299367211488,0.1617634248200047,152,173,0.7579555900980528,-0.7121467954835045
Kn0p15,0.15,common200_TRT,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0167514642625158,0.1268770899192603,158,177,0.6489287286066826,-1.111228667270157
Kn0p15,0.15,common200_TTR,200,0.9497435897435896,0.5645693802954534,0.7100627342703046,0.0166677840769588,0.1256794276779022,159,178,0.7858779347883019,-0.6191829673693114
Kn0p25,0.25,common200_D,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.0289114211453038,0.1912170681898514,149,171,0.6842747046133999,-0.8564239888338733
Kn0p25,0.25,common200_MA,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.0106692198328372,0.0961423093273605,164,181,0.7244714533698083,-0.7275686677961309
Kn0p25,0.25,common200_multivariate,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.0120302915034544,0.0926311700161814,169,184,0.768824313666519,-0.5934374635426354
Kn0p25,0.25,common200_P,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.019643736493315,0.1294132508981639,160,178,0.6436909452250279,-0.994439202674782
Kn0p25,0.25,common200_TRT,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.0131891694332747,0.1094819776510634,163,180,0.6428293859219639,-0.9974625974400344
Kn0p25,0.25,common200_TTR,200,0.9237820512820512,0.6007374471649127,0.9115548257257352,0.0131587336252258,0.1051546084496322,164,181,0.6956913592600371,-0.8190726102471334
Kn0p50,0.5,common200_D,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.032534099594807,0.1914274182222556,151,173,0.7303464955783969,-0.6185752086098896
Kn0p50,0.5,common200_MA,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.0100586974758889,0.0928847913771505,165,181,0.6467366470165822,-0.8579057173463821
Kn0p50,0.5,common200_multivariate,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.0123937100015661,0.0898845415880608,170,184,0.8118436710448635,-0.4103296864157896
Kn0p50,0.5,common200_P,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.0169964246129453,0.1172230439729961,163,180,0.622532471582022,-0.932991119723927
Kn0p50,0.5,common200_TRT,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.0117570969223632,0.0957678814822285,166,182,0.752971690897925,-0.5585189901142392
Kn0p50,0.5,common200_TTR,200,0.9003846153846153,0.6609801373165403,1.24331572035128,0.0103558583251372,0.0909358683850573,167,182,0.6365563194844837,-0.8891385468753717
Kn1p00,1.0,common200_D,200,0.8823717948717948,0.7555398511034749,1.733532089768488,0.0274214467984003,0.1734869254354061,156,176,0.7015996502717637,-0.4491664593113924
