case,criterion,amplitude_multiplier,injected_global_std_R,hits,replicates,power,power_wilson_low,power_wilson_high
Kn0p025,reference,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p025,reference,0.25,0.0001426963464193,1,100,0.01,0.0017674320641406,0.0544861961787053
Kn0p025,reference,0.5,0.0002853926928387,7,100,0.07,0.0343192610672726,0.137495147390735
Kn0p025,reference,0.75,0.000428089039258,57,100,0.57,0.472153895492123,0.6626670147588988
Kn0p025,reference,1.0,0.0005707853856774,89,100,0.89,0.8136870349691969,0.9374580364293544
Kn0p025,reference,1.25,0.0007134817320968,97,100,0.97,0.9154806357094724,0.9897454759759612
Kn0p025,reference,1.5,0.0008561780785161,100,100,1.0,0.9630065017930144,1.0
Kn0p025,reference,2.0,0.0011415707713548,100,100,1.0,0.9630065017930144,1.0
Kn0p025,reference,3.0,0.0017123561570323,100,100,1.0,0.9630065017930144,1.0
Kn0p025,reference,4.0,0.0022831415427097,100,100,1.0,0.9630065017930144,1.0
Kn0p025,reference,6.0,0.0034247123140646,100,100,1.0,0.9630065017930144,1.0
Kn0p025,uniform,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p025,uniform,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p025,uniform,0.5,0.0002853926928387,6,100,0.06,0.0277861239631881,0.1247681544589592
Kn0p025,uniform,0.75,0.000428089039258,57,100,0.57,0.472153895492123,0.6626670147588988
Kn0p025,uniform,1.0,0.0005707853856774,89,100,0.89,0.8136870349691969,0.9374580364293544
Kn0p025,uniform,1.25,0.0007134817320968,97,100,0.97,0.9154806357094724,0.9897454759759612
Kn0p025,uniform,1.5,0.0008561780785161,100,100,1.0,0.9630065017930144,1.0
Kn0p025,uniform,2.0,0.0011415707713548,100,100,1.0,0.9630065017930144,1.0
Kn0p025,uniform,3.0,0.0017123561570323,100,100,1.0,0.9630065017930144,1.0
Kn0p025,uniform,4.0,0.0022831415427097,100,100,1.0,0.9630065017930144,1.0
Kn0p025,uniform,6.0,0.0034247123140646,100,100,1.0,0.9630065017930144,1.0
Kn0p050,reference,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,reference,1.5,0.0008561780785161,2,100,0.02,0.0055019675501623,0.0700117907285438
Kn0p050,reference,2.0,0.0011415707713548,9,100,0.09,0.0480725400025651,0.1622621285271631
Kn0p050,reference,3.0,0.0017123561570323,56,100,0.56,0.4622810465167699,0.6532797336983921
Kn0p050,reference,4.0,0.0022831415427097,84,100,0.84,0.7557973061072976,0.8990471151119521
Kn0p050,reference,6.0,0.0034247123140646,96,100,0.96,0.9016292856411208,0.9843366960084524
Kn0p050,uniform,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,uniform,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,uniform,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,uniform,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
