case,Kn,variable,template,field_marker_corr,field_marker_corr_q025,field_marker_corr_median,field_marker_corr_q975,circular_shift_pvalue,median_abs_spatial_corr,median_projection_fraction,amplitude_std_over_R,marker_std_over_R,lag1_phi,tau_star,coherent_gain
Kn0p01,0.01,D,reference_mode,0.9460943866291178,0.9209209970779312,0.9446007139166626,0.962099734726012,0.0054054054054054,0.2299097346340047,0.0528755666154393,0.000481587889505,0.0005501821864235,0.718682472196059,0.8718405237001314,0.82813949664762
Kn0p01,0.01,MA,reference_mode,0.755352531221778,0.670479170945313,0.7524124586340374,0.821187409276178,0.0054054054054054,0.1516196970792218,0.022988645142115,0.0005115245880557,0.0005501821864235,0.585137645704962,0.5374055060161439,0.7022789939488066
Kn0p01,0.01,TTR,reference_mode,0.707383166536436,0.5987188462556392,0.702339443610716,0.7768663885272714,0.0054054054054054,0.1112268247539588,0.012371437777658,0.0005370005829153,0.0005501821864235,0.4839372426726116,0.3968035027743337,0.6904352451755635
Kn0p01,0.01,P,reference_mode,0.9013340331984878,0.844676210676483,0.8995384144833861,0.9281424904198142,0.0054054054054054,0.200611399614036,0.0402632772406662,0.0004768535819935,0.0005501821864235,0.7395341128103097,0.9544803409360404,0.7812037047170178
Kn0p025,0.025,D,reference_mode,0.7896501088792922,0.7225433230945832,0.7927357138775808,0.8472850480551721,0.0054054054054054,0.1537905256877891,0.023651629041743,0.0006809735706705,0.0008515357630934,0.5775368026481538,0.4366165743997875,0.6314835824046301
Kn0p025,0.025,MA,reference_mode,0.3953027881908724,0.2526910180952055,0.3929648152535464,0.5116686544510363,0.0054054054054054,0.1313885425267078,0.0172629558209988,0.0007903466508815,0.0008515357630934,0.5039009777209542,0.349728177211849,0.3668973732774471
Kn0p025,0.025,TTR,reference_mode,0.2733541668301866,0.1554496032537735,0.2669307584213737,0.3709176951592365,0.0054054054054054,0.0986531130352419,0.009734280816053,0.0009714875565096,0.0008515357630934,0.336752240360326,0.2202254733771728,0.3118602683589788
Kn0p025,0.025,P,reference_mode,0.7270855953407673,0.6516450530551476,0.7242025937717265,0.7880752997264281,0.0054054054054054,0.1265176898455248,0.0160067699247845,0.0006738748065962,0.0008515357630934,0.6032228794652345,0.4742038520384457,0.5753894154242363
Kn0p050,0.05,D,reference_mode,0.1828488101263693,0.053887862083456,0.1963468207145133,0.339558918822766,0.0162162162162162,0.0819864658784018,0.0067222944874222,0.0006470972615251,0.0013643832504971,0.4324845112188643,0.5140207601416215,0.08672120847480898
Kn0p050,0.05,MA,reference_mode,0.3250267232740329,0.1792498873377197,0.3152080441098883,0.4326766938397324,0.0054054054054054,0.1030560859229271,0.0106207182087269,0.0010897370863881,0.0013643832504971,0.5442773807005276,0.7083007528770247,0.2595998406531807
Kn0p050,0.05,TTR,reference_mode,0.1643427584079923,0.0336266380169023,0.1628643785679815,0.2838955143321736,0.027027027027027,0.0681118653805059,0.0046392491812489,0.0007995892324179,0.0013643832504971,0.1860056061618216,0.2561606558754464,0.09631216155798612
Kn0p050,0.05,P,reference_mode,0.5099167030945844,0.4283345326835008,0.512422199971351,0.6046089070336409,0.0054054054054054,0.0877397935885927,0.0076982802997276,0.0009885870279777,0.0013643832504971,0.4819127579313512,0.5902209882859448,0.36946879686832823
