case,Kn,angular_smoothing_rays,n_rays,n_raw_snapshots,dt_star,physical_model_supported,phi_noise,phi_physical,tau_noise_exponential_star,tau_physical_exponential_star,tau_noise_integral_star,tau_physical_integral_star,trace_physical,trace_noise,global_physical,global_noise,objective_noise_only,objective_two_component,aicc_noise_only,aicc_two_component,delta_aicc,width_fit_r2_trace,width_fit_r2_global,centre_fit_r2_trace,centre_fit_r2_global,acf_fit_rmse_noise,acf_fit_rmse_centre,design_condition_number,raw_negative_mass_physical,raw_negative_mass_noise,raw_negative_fraction_physical,raw_negative_fraction_noise,projected_relative_correction_physical,projected_relative_correction_noise,weighted_relative_residual,iterations,loocv_error_two_component,loocv_error_noise_only,physical_trace_fraction_m1,pointwise_physical_std_R,global_physical_variance_R2,global_noise_variance_R2,global_physical_std_R,physical_global_fraction_m1,physical_angular_E1,uniform_mode_correlation,mode_participation_rays,max_10deg_mode_energy_fraction,mode_roughness,far_angle_mean_covariance_R2,far_angle_mean_correlation,centre_linear_slope_per_tstar,centre_linear_trend_pvalue,centre_max_quartile_mean_shift_in_std,centre_quartile_variance_ratio,centre_levene_pvalue,width_linear_slope_per_tstar,width_linear_trend_pvalue,width_max_quartile_mean_shift_in_std,width_quartile_variance_ratio,width_levene_pvalue,negative_control_false_detection_rate,positive_control_detection_rate,positive_control_mode_alignment_median,negative_control_delta_aicc_median,positive_control_delta_aicc_median,bootstrap_phi_noise_q025,bootstrap_phi_noise_median,bootstrap_phi_noise_q975,bootstrap_phi_physical_q025,bootstrap_phi_physical_median,bootstrap_phi_physical_q975,bootstrap_tau_noise_exponential_star_q025,bootstrap_tau_noise_exponential_star_median,bootstrap_tau_noise_exponential_star_q975,bootstrap_tau_physical_exponential_star_q025,bootstrap_tau_physical_exponential_star_median,bootstrap_tau_physical_exponential_star_q975,bootstrap_tau_noise_integral_star_q025,bootstrap_tau_noise_integral_star_median,bootstrap_tau_noise_integral_star_q975,bootstrap_tau_physical_integral_star_q025,bootstrap_tau_physical_integral_star_median,bootstrap_tau_physical_integral_star_q975,bootstrap_delta_aicc_q025,bootstrap_delta_aicc_median,bootstrap_delta_aicc_q975,bootstrap_physical_trace_fraction_m1_q025,bootstrap_physical_trace_fraction_m1_median,bootstrap_physical_trace_fraction_m1_q975,bootstrap_physical_global_fraction_m1_q025,bootstrap_physical_global_fraction_m1_median,bootstrap_physical_global_fraction_m1_q975,bootstrap_physical_angular_E1_q025,bootstrap_physical_angular_E1_median,bootstrap_physical_angular_E1_q975,bootstrap_uniform_mode_correlation_q025,bootstrap_uniform_mode_correlation_median,bootstrap_uniform_mode_correlation_q975,bootstrap_far_angle_mean_covariance_R2_q025,bootstrap_far_angle_mean_covariance_R2_median,bootstrap_far_angle_mean_covariance_R2_q975,bootstrap_far_angle_mean_correlation_q025,bootstrap_far_angle_mean_correlation_median,bootstrap_far_angle_mean_correlation_q975,bootstrap_mode_alignment_with_reference_q025,bootstrap_mode_alignment_with_reference_median,bootstrap_mode_alignment_with_reference_q975,bootstrap_global_physical_std_R_q025,bootstrap_global_physical_std_R_median,bootstrap_global_physical_std_R_q975
Kn0p025,0.025,1,60,600,0.23969512536633175,True,0.0469038076152305,0.718056112224449,0.07834053644756349,0.7237006417754263,0.13164344869794528,0.7303043141936525,7.024412901517215e-05,0.0002975505693969225,4.24829444014308e-07,3.0288504541964046e-07,0.08877902809054736,0.0018890807862380241,-38.78888688650523,-97.8899686447455,59.10108175824026,0.9997984364360961,0.999786755575083,0.9999524842112905,0.9977239784110269,0.02609978528274185,0.04247847598934014,7.446604424232988,3.743309367997895e-05,0.0,0.34764170864582233,0.0,5.9911297647142896e-15,0.1409227000269423,0.047576743565961255,22,0.2539706237777417,0.4367995609234942,0.1909873342885092,0.0010820053066349547,4.25511464112917e-07,3.021304161236058e-07,0.0006523123976385218,0.5847814366795419,0.4556356736457011,0.8759674199561689,32.93955432167644,0.4191272967893689,0.035624416334143975,3.090942056507468e-07,0.26664228572484133,6.959159733946047e-07,0.40726621270946517,0.132923102274796,1.4612425868367425,0.14853491889039533,6.069974584897339e-07,0.7519925291124777,0.049195582074749625,1.518765967159089,0.09760673234759368,0.15,1.0,0.9673618174797671,-0.08189488650858578,73.81287764352763,-0.01565806613226451,0.041913827655310654,0.09705310621242492,0.36626252505010026,0.6020390781563127,0.7904731963927856,0.04828534639402687,0.07696554569307239,0.10445105917824614,0.23864391772663252,0.4723739787452044,1.0194473731976372,0.11615257207398845,0.13033361337924884,0.14561195473300068,0.2583770726601691,0.4824665530641476,1.0241395509643723,29.00787023360753,44.78388719674066,64.39860668640125,0.15732000021708054,0.2478560051097658,0.38287016100196936,0.4766737005146432,0.7167926746795652,0.9403277403252613,0.3073410998526003,0.39479321783731575,0.48995093495806524,0.781355217712716,0.8531155344117634,0.8909833180852206,2.0433326492041653e-07,3.77079751094548e-07,6.920977084776054e-07,0.12004818823561286,0.20625978532036074,0.2870047355768937,0.9413337267192478,0.9767216379447954,0.9903548872285552,0.0005642553178873658,0.0007319084344587698,0.0009483710669215292
Kn0p025,0.025,3,60,600,0.23969512536633175,True,0.05189378757515034,0.718056112224449,0.08101760098404609,0.7237006417754263,0.13296707161112303,0.7303043141936525,5.355792151227141e-05,0.0002185861599523666,4.2209011968354786e-07,3.0622713238858963e-07,0.08860048915505728,0.001915558770521215,-38.82512220808022,-97.63942642928177,58.81430422120155,0.9998987010735522,0.9997887685345356,0.9999004397125972,0.997572791839078,0.02586825142224398,0.0425275735846696,7.494030895021945,1.7999783773576512e-05,0.0,0.251220539173014,0.0,0.0033954604494499012,0.10221912000317755,0.03580820832403487,129,0.19737641947519108,0.4220972927416199,0.19679987609515828,0.0009447920539486578,4.2239422313669934e-07,3.058909147298506e-07,0.000649918628088701,0.5799846806898569,0.5847005614669967,0.8839100912352574,33.58216412790292,0.418054478383519,0.006593943915448173,3.1192399588070726e-07,0.37205789210892787,7.153988348698306e-07,0.39445009924351393,0.1320558716437997,1.4499704680660637,0.16563487960331522,6.209232542921983e-07,0.7452552686839394,0.0476637462351515,1.5058677460854217,0.11849557675266628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p025,0.025,5,60,600,0.23969512536633175,True,0.054388777555110235,0.7205511022044089,0.08232426707162596,0.7313599212405751,0.1336341216253145,0.7378946837781599,4.7515393018275295e-05,0.0001807215433972903,4.170844424548399e-07,3.119164913132189e-07,0.08879540153099602,0.0019116726943281073,-38.78556746794323,-97.67597995166855,58.89041248372532,0.9998649018207156,0.9997756933358798,0.9998643549455338,0.9976595562414946,0.027060791518862964,0.04241881137628461,7.4840510826088105,1.0926774062804934e-05,0.0,0.18676403464129127,0.0,0.0024104989659919254,0.08007625684253644,0.030270665670767187,126,0.16971006701401117,0.4177707502369176,0.20818450231806904,0.0008899006781496769,4.172439348559855e-07,3.1174011062898077e-07,0.0006459442196165127,0.5723636030722846,0.6476184006429497,0.886694360144136,33.962411984506815,0.41875685853266614,0.0037638999273021598,3.089046292233505e-07,0.42739505561703767,7.246002036694999e-07,0.3886207185709267,0.13146738645731923,1.4437667348554908,0.1792381499556001,6.393084791766726e-07,0.7373388995780108,0.04658463714285407,1.504201366744386,0.13318810781310877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p050,0.05,1,60,419,0.4308567067802471,False,0.056883767535070184,0.21406813627254512,0.15029473072580563,0.2795119233677923,0.24141534407668758,0.3327829186873494,0.0005516144944725547,0.0007363540346433924,1.8403341736839437e-06,0.0,0.015276784910885502,0.0031952998711003845,-70.46557672154371,-88.42933810537365,17.963761383829933,0.9989328331969057,0.9938892794919161,0.9999361515485885,0.9943962933032218,0.03669956059486455,0.05049998303391137,34.92040725331928,0.0009538699548213267,0.000483768950258345,0.48117426877415714,0.2209510411405682,0.538563654041778,0.6334831412898879,0.07840195974484938,250,1.5046048801311833,0.402577949500697,0.42828258765855026,0.003032090847563099,1.4583692915160135e-06,3.92112449138605e-07,0.0012076296168594134,0.7881025029731484,0.21896605609789072,0.7670932132988091,28.509602542715538,0.48102982840036435,0.05048184866492073,6.514996384319332e-07,0.07214806199543888,-3.847191858129386e-07,0.7622110691473414,0.07670487269070564,1.2223920664832515,0.8043983197110545,4.266861205265879e-06,0.1973403075210582,0.08958040064044441,1.2338718634031647,0.3842641772286474,0.225,0.6,0.706694189898968,0.5167539008329101,13.073429325643119,-0.010543336673346672,0.04939879759519039,0.11688827655310628,0.1438965430861724,0.2340280561122245,0.4941307615230463,0.07969780387429683,0.145630732781374,0.20211711038294686,0.22224469774370414,0.29666905766962953,0.6112351948732442,0.21093314444258363,0.23781818752553643,0.27245673799598663,0.2878506637095392,0.34706836756467563,0.6363402034472275,1.9042087121094178,18.57752800639004,37.49565968362443,0.2456149982351373,0.39435334809219313,0.4865545125072888,0.30687758233147777,0.7305458794534161,0.8311200860312076,0.15657537568526678,0.19804378819102308,0.2657841932727121,0.24054508010706144,0.5861164915037768,0.7950815832928853,-1.3668037961554896e-08,7.256405833178508e-07,1.802822412030198e-06,-0.0018910399974628315,0.0360425565276581,0.08931229505020986,0.21357506857577532,0.8493589353095491,0.9443179006573549,0.0007812627795958759,0.0014906450772684534,0.0018184197242005545
Kn0p050,0.05,3,60,419,0.4308567067802471,False,0.06436873747494992,0.21406813627254512,0.15706770933996098,0.2795119233677923,0.2450700545162835,0.3327829186873494,0.0003882072022894608,0.0005119695391067389,1.8374334033982286e-06,0.0,0.014491522095309269,0.003247103175543482,-71.41544670536764,-88.13985619284877,16.724409487481125,0.9992929968798024,0.9943394618705516,0.9998903166717085,0.9943546791476763,0.031486543576018426,0.05093714248121919,36.64017429593684,0.0004945768817430851,0.00021690352052058514,0.45028825632395064,0.17637946967324786,0.4370194708956019,0.5687424628799594,0.05834292243958523,250,1.2176134067304336,0.33705249157032924,0.4312566459863653,0.0025436430642206227,1.558915631648165e-06,2.855993839406064e-07,0.0012485654294622148,0.8451628848088055,0.32290161480087004,0.79313250789654,30.026805527411693,0.47421766182740227,0.013346294720142326,7.625581817308628e-07,0.12114070012222558,-3.5551924268851057e-07,0.7795984504774948,0.07675760954413001,1.2126526055058486,0.8196866397957938,4.666035343032568e-06,0.15740282061149927,0.08688817740440867,1.2248304635084406,0.45436915575281844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p050,0.05,5,60,419,0.4308567067802471,False,0.06935871743486977,0.21406813627254512,0.1614624733574529,0.2795119233677923,0.24753918829540653,0.3327829186873494,0.00032389629887590466,0.0003957051903695476,1.837096736408609e-06,0.0,0.014117440503860084,0.0033814764210365173,-71.88619795403952,-87.40997137026828,15.523773416228764,0.9993076812198646,0.9947764875446565,0.999815521340042,0.9941929921985395,0.03141091583063227,0.05186687247111822,37.88526005869461,0.0003258260442122262,0.00013149360345243282,0.4175044790740271,0.15339278606743617,0.3636292332872847,0.526366377646188,0.04848023144542617,250,1.070140292420545,0.3051039119058186,0.4501050980529938,0.00232341809580879,1.6160913671452803e-06,2.264649420505524e-07,0.001271255822855998,0.8770919830670516,0.40083394484704427,0.8012632883939512,30.878039093331246,0.46876889253715126,0.005764199831592106,8.112673957070528e-07,0.15216455129862427,-3.7103483444037144e-07,0.7701994404975726,0.07670746416091268,1.2049263319672552,0.8322239290014668,4.866954207039757e-06,0.13872341802081967,0.0908129433053946,1.2448412990235187,0.409159654136543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p075,0.075,1,60,674,0.4911648632939176,False,0.02444889779559123,0.3487975951903808,0.1323477081982822,0.4663266807629109,0.2578918222225254,0.5086605804584878,0.0007024399806688262,0.0016498260315438414,1.6222796671916888e-06,1.7489983132072965e-06,0.013083549590682926,0.0009829788909394138,-73.25519269801673,-109.64861241902969,36.39341972101296,0.9999150669772644,0.9993350873507904,0.999905149601213,0.9998377688962398,0.012636630366145167,0.030739152171036892,16.684091659519837,0.0006427396806625426,5.612698732812405e-05,0.4547071259083044,0.02376814143158024,0.15248525276233854,0.3564861143891174,0.05543603901599157,250,0.5311676817099459,0.35482208734182247,0.2986226800123144,0.0034215980200992496,1.7272001742917702e-06,1.6402246750211182e-06,0.0013142298787852033,0.5129142450333226,0.28555402361235516,0.6438032953565118,12.843753258922263,0.7272822347701905,0.05398664240062193,8.909274986387227e-07,0.08025304048275252,7.497716065392579e-08,0.9193926297022599,0.01027467542927516,1.3472747772688554,0.28409664320795397,-2.1459990566204739e-07,0.902223857425192,0.13242522368377296,1.206729232211206,0.36538629249888466,0.15,1.0,0.9195222132208174,-0.715562273086249,42.32844141335102,-0.028008266533066126,0.016963927855711436,0.06942109218436877,0.12911372745490984,0.36501503006012026,0.8006402805611225,0.07899565604195326,0.1341269566948461,0.18738733684247139,0.2399364642516147,0.487380353564728,2.2091940401833807,0.2322006267605365,0.254058300989173,0.28222337337280873,0.31840079980286695,0.5279507207416636,2.218287236062966,-1.765273572250759,29.141990993542308,58.5186032851466,0.12682527596310986,0.2873692156615135,0.4413369073719043,0.13449597402983984,0.4911341993297666,0.7999454387804519,0.15759471229764607,0.24457342860334472,0.3275105710138073,0.28690378049155185,0.5873026549680476,0.7293339131089804,-9.831741864823965e-08,8.39423946352907e-07,2.7225444578238204e-06,-0.0010239814799856235,0.04923542331996203,0.10754349152787468,0.6898289383647163,0.9294412806045192,0.9747075999171937,0.0007107322887828515,0.0013708632008217374,0.0022510497183081254
Kn0p075,0.075,3,60,674,0.4911648632939176,False,0.029438877755511017,0.3512925851703407,0.13932019489955128,0.4695039121385188,0.2604803520735196,0.511561470312124,0.0004560590801505942,0.0011934892431081756,1.5534292437448324e-06,1.8130458420420348e-06,0.012386637153968105,0.0010668687240974405,-74.2404666538633,-108.17449224496667,33.93402559110338,0.9999659961095191,0.9991850013076441,0.9998224002328655,0.9998353473861621,0.014259215991235596,0.03193825781646578,16.79822994830691,0.00032796480855619577,1.3992393309971727e-05,0.40821928430408494,0.00906618719408352,0.07841340306351893,0.292123476721437,0.04183088109035866,250,0.40282405718572684,0.31394667919154784,0.2764751257784467,0.0027569883331593137,1.6584136831307227e-06,1.7035620483787178e-06,0.0012877941151949416,0.4932854415299832,0.4337425805869807,0.6419709755020144,12.140939291056412,0.7368035182033709,0.021627604647747534,9.036447260238028e-07,0.1434554967379223,6.58198611570373e-08,0.9291607396484375,0.011546962360768513,1.3451079298336075,0.28783487992916307,-4.1085234679180427e-07,0.8135243571109959,0.13523964662105292,1.2211707240458067,0.26244949156465813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p075,0.075,5,60,674,0.4911648632939176,False,0.026943887775551123,0.3487975951903808,0.13590620519140997,0.4663266807629109,0.2591827685541819,0.5086605804584878,0.0003751593222306408,0.0009368595153131777,1.534617409877968e-06,1.8192738286148322e-06,0.012673849459227279,0.0011473918757970811,-73.82786110930519,-106.86474923437214,33.03688812506695,0.9999225814895744,0.9990347133655555,0.9997428654016662,0.9997950415624001,0.014272173535976027,0.033057029295287116,16.80863587944407,0.00020966687617115918,4.822920732978774e-06,0.35234717610696975,0.0041780463717746835,0.042893157474313555,0.25699833631436786,0.03507872186731758,250,0.3402289158205941,0.30255644593029996,0.28594049985819,0.002500531017706175,1.6367010872377632e-06,1.7125964848532568e-06,0.001279336190075839,0.48866995303016464,0.5287315359984459,0.642967160091032,12.12123731705273,0.7511057638902088,0.014851075379166604,9.003706207489491e-07,0.18960268684471232,3.956325168966042e-08,0.957304329652481,0.014318447482521833,1.3429425745139658,0.29602643084382296,-4.391685553471444e-07,0.8011709423110734,0.13628581791126432,1.2123270211883947,0.30300014804361164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p10,0.1,1,60,400,0.3689999999999998,False,0.0768436873747495,0.6931062124248498,0.14380459665660925,1.0066234545147825,0.2152156223203915,1.0178703800444038,0.0008003165788976792,0.003897585417100475,1.0923405054006588e-06,4.992714518743441e-06,0.009480807633345684,0.0018787252014240215,-79.05274391315513,-97.98891269686277,18.936168783707643,0.9990970704107943,0.9974489654648774,0.9995887306165728,0.9936375791545803,0.03642489789714135,0.0352480679551479,8.122986425137187,0.0008299972834390731,0.0,0.5077522595902667,0.0,0.01902317161450503,0.23404272625009606,0.08084872208876841,158,0.4775353033675679,0.41198909535620853,0.1703561674082214,0.0036522061344199416,1.344037357705661e-06,4.715894102623918e-06,0.0011593262516244774,0.22179085134942494,0.21495708981288753,0.583840582808949,23.84425433358387,0.5192860726286797,0.2016297339336978,4.3173485411388347e-07,0.032616749263606186,5.244386882761026e-06,0.07036551643483838,0.11944853659852123,1.1407178935849946,0.7108042486362587,-1.825335786834201e-06,0.7951480688354526,0.05422028941024898,1.4679134817030313,0.20410328329193603,0.2,0.875,0.8194192399930172,-0.37455708986909286,34.215076263189566,0.026943887775551123,0.06935871743486977,0.12187825651302613,0.02900225450901804,0.7430060120240481,0.995,0.1021029667702846,0.1382818271859649,0.1753191067712743,0.12366244109704144,1.2563891956993614,73.61534586440337,0.19471759635880578,0.21200078597730343,0.23571541404179278,0.19552442609587814,1.251331253898939,73.61549999999988,-16.88810703084775,15.634277623673746,51.66003729071768,0.08574501359883255,0.1705080259781261,0.5265708742451457,0.07442402564363164,0.282551459794126,0.724423285084105,0.12974243085552917,0.19749605027382316,0.31816264586044835,0.06773885845919952,0.5270173027413529,0.7452170099289553,-2.3626220766550417e-05,5.379571745641953e-07,2.2453811459598385e-05,-0.03049951642733118,0.02370209277066832,0.11244335452852171,0.1310821037352544,0.880376321539448,0.9658969551503517,0.0006914066832493498,0.0013609859329437456,0.00801328424098186
