case,Kn,angular_smoothing_rays,n_rays,n_raw_snapshots,dt_star,physical_model_supported,phi_noise,phi_physical,tau_noise_exponential_star,tau_physical_exponential_star,tau_noise_integral_star,tau_physical_integral_star,trace_physical,trace_noise,global_physical,global_noise,objective_noise_only,objective_two_component,aicc_noise_only,aicc_two_component,delta_aicc,width_fit_r2_trace,width_fit_r2_global,centre_fit_r2_trace,centre_fit_r2_global,acf_fit_rmse_noise,acf_fit_rmse_centre,design_condition_number,raw_negative_mass_physical,raw_negative_mass_noise,raw_negative_fraction_physical,raw_negative_fraction_noise,projected_relative_correction_physical,projected_relative_correction_noise,weighted_relative_residual,iterations,loocv_error_two_component,loocv_error_noise_only,physical_trace_fraction_m1,pointwise_physical_std_R,global_physical_variance_R2,global_noise_variance_R2,global_physical_std_R,physical_global_fraction_m1,physical_angular_E1,uniform_mode_correlation,mode_participation_rays,max_10deg_mode_energy_fraction,mode_roughness,far_angle_mean_covariance_R2,far_angle_mean_correlation,centre_linear_slope_per_tstar,centre_linear_trend_pvalue,centre_max_quartile_mean_shift_in_std,centre_quartile_variance_ratio,centre_levene_pvalue,width_linear_slope_per_tstar,width_linear_trend_pvalue,width_max_quartile_mean_shift_in_std,width_quartile_variance_ratio,width_levene_pvalue,negative_control_false_detection_rate,positive_control_detection_rate,positive_control_mode_alignment_median,negative_control_delta_aicc_median,positive_control_delta_aicc_median,bootstrap_phi_noise_q025,bootstrap_phi_noise_median,bootstrap_phi_noise_q975,bootstrap_phi_physical_q025,bootstrap_phi_physical_median,bootstrap_phi_physical_q975,bootstrap_tau_noise_exponential_star_q025,bootstrap_tau_noise_exponential_star_median,bootstrap_tau_noise_exponential_star_q975,bootstrap_tau_physical_exponential_star_q025,bootstrap_tau_physical_exponential_star_median,bootstrap_tau_physical_exponential_star_q975,bootstrap_tau_noise_integral_star_q025,bootstrap_tau_noise_integral_star_median,bootstrap_tau_noise_integral_star_q975,bootstrap_tau_physical_integral_star_q025,bootstrap_tau_physical_integral_star_median,bootstrap_tau_physical_integral_star_q975,bootstrap_delta_aicc_q025,bootstrap_delta_aicc_median,bootstrap_delta_aicc_q975,bootstrap_physical_trace_fraction_m1_q025,bootstrap_physical_trace_fraction_m1_median,bootstrap_physical_trace_fraction_m1_q975,bootstrap_physical_global_fraction_m1_q025,bootstrap_physical_global_fraction_m1_median,bootstrap_physical_global_fraction_m1_q975,bootstrap_physical_angular_E1_q025,bootstrap_physical_angular_E1_median,bootstrap_physical_angular_E1_q975,bootstrap_uniform_mode_correlation_q025,bootstrap_uniform_mode_correlation_median,bootstrap_uniform_mode_correlation_q975,bootstrap_far_angle_mean_covariance_R2_q025,bootstrap_far_angle_mean_covariance_R2_median,bootstrap_far_angle_mean_covariance_R2_q975,bootstrap_far_angle_mean_correlation_q025,bootstrap_far_angle_mean_correlation_median,bootstrap_far_angle_mean_correlation_q975,bootstrap_mode_alignment_with_reference_q025,bootstrap_mode_alignment_with_reference_median,bootstrap_mode_alignment_with_reference_q975,bootstrap_global_physical_std_R_q025,bootstrap_global_physical_std_R_median,bootstrap_global_physical_std_R_q975
Kn0p01,0.01,1,60,200,0.28800000000000026,True,-0.25,0.6432064128256514,,0.6526326609285289,0.08640000000000007,0.6631893956414296,5.5109068721604345e-05,5.44680539885289e-05,3.212540247465404e-07,0.0,0.37639004477548577,0.0030656334213208665,-12.788327762608109,-89.17501922757009,76.38669146496198,0.9448091632415221,0.9960246283846386,0.9871552108552716,0.9791338829437388,0.1651202156013676,0.017445671914136814,5.9978429880530255,4.267662568540806e-06,2.1699199786920988e-06,0.06988435256040584,0.03538143503212455,0.05906514629072339,0.10307365523917077,0.0676576635172307,132,0.4323746037420838,0.78381105091912,0.5029249478231471,0.0009583759589500384,3.0907249455631964e-07,1.5006607440790897e-08,0.0005559428878547865,0.9536946154555664,0.41784935178064064,0.8677819614579457,34.20328696659031,0.3697303791769258,0.016454524520510213,1.666181048824558e-07,0.18414880754369206,8.055788094937472e-07,0.7387745023316798,0.27263976977913756,1.660774311204279,0.2132589097449083,3.9292540844922326e-06,0.2887911616446082,0.12015540086862614,3.6698912507378756,0.52848834806812,0.05,1.0,0.9737154094063933,-4.164425658868659,73.5438215338782,-0.25,-0.25,0.11177354709418841,0.5080403306613227,0.6120190380761523,0.6931685871743488,0.0532728565079628,0.11081231433543669,0.1407538656035639,0.4253011324289451,0.5865753620603054,0.7858517680497134,0.08640000000000007,0.08640000000000007,0.18024163799424692,0.4414312393444785,0.5983121384245139,0.7946277145810067,33.272215637830236,57.963035691496316,73.19576580944981,0.3483134467757442,0.48134187233715586,0.5444819052094539,0.8548741825982736,0.9420864707064184,0.9691480698887681,0.32513482078112393,0.42227259950150975,0.5485247380566354,0.7036211048796033,0.8655483483803175,0.9235276599391685,7.274917120444986e-08,1.9318614498504303e-07,3.0900665869171187e-07,0.06476619618648764,0.20195040434802689,0.3312861060576379,0.9271744971889363,0.9805185378149119,0.9943565947377779,0.0004941786995877807,0.0005756527783333496,0.0006576055060266486
Kn0p01,0.01,3,60,200,0.28800000000000026,True,0.03692384769539081,0.6457014028056113,0.08730188986913877,0.6584089581828773,0.15504177287624213,0.6688736672417215,3.6965798248313176e-05,4.913546918946315e-05,3.2130310409746266e-07,0.0,0.19451086316461014,0.0016568686817878316,-24.670810783269943,-100.25086429665971,75.58005351338977,0.9991869723985658,0.9965529630475395,0.9948059089094083,0.9805582285770543,0.0458334572959006,0.017328286684688995,8.426119697916983,7.375027808802486e-06,1.9295483571497536e-06,0.16048705542467795,0.032640219302864266,0.06872351182801978,0.17212901027027158,0.057673648970063635,242,0.35089332180182087,0.551331044776298,0.42932931591312085,0.0007849182361697849,3.0525596524268394e-07,1.8596793996457306e-08,0.0005524997423010114,0.9425763916906295,0.6112257538584153,0.8785892419736515,35.056257722001256,0.37300391428845103,0.003406107780394124,1.9826355707593662e-07,0.33669799462773203,8.510181767418562e-07,0.7247861719709996,0.27241130808794006,1.6655994114633055,0.204461725976704,2.905126688939476e-06,0.34715913620466665,0.17891486036922988,1.7666616209344126,0.11190689017552273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p01,0.01,5,60,200,0.28800000000000026,True,0.029438877755511017,0.6432064128256514,0.08169195137857428,0.6526326609285289,0.1527355619334725,0.6631893956414296,3.530921184541337e-05,4.0716829841289524e-05,3.232610546727896e-07,0.0,0.2025806760323714,0.0017203694151632365,-23.939107289087207,-99.57389222928357,75.63478494019637,0.9991407453290493,0.9963011510378197,0.9934426252292294,0.9805949923831704,0.04387001919552512,0.01690899862348399,8.374661594405406,4.576050508085726e-06,1.6239936688923271e-06,0.11109875922892867,0.034266804358003874,0.058776957711706226,0.1372460847182604,0.05253643820086657,231,0.3262777418530426,0.5517900785241132,0.4644357520403304,0.0007671289748733409,3.0908584402468596e-07,1.6437956482060106e-08,0.0005559548938760104,0.949503057974652,0.6439766678869964,0.8817262074365598,35.283651600188335,0.37237082521338594,0.0018801324561277593,2.021532894175522e-07,0.3669384463869469,8.187514670771033e-07,0.7356466990755521,0.27408447632447325,1.6745387160743346,0.20906389589557287,2.9926255741674785e-06,0.3310589605014196,0.18284255351527454,1.7520642184576114,0.11971272284689853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p025,0.025,1,60,200,0.23969512536633175,True,-0.03792585170340679,0.7005911823647295,,0.6736211600121396,0.11108909331490245,0.6807137810322357,0.000100207814636543,0.0002697896050284947,4.53345248032526e-07,2.585835320650111e-07,0.11196916786059971,0.004569986486382466,-34.611571185798915,-81.98841055994944,47.37683937415053,0.9986407224782444,0.9959395526075961,0.9985647541259769,0.9825425135365005,0.03513479880727069,0.06092116880896081,6.94717752037171,4.7434324920792935e-05,1.0054029551587005e-06,0.31731636570621696,0.0031234476406257214,0.03256251283043897,0.18944288216167843,0.07988781575017441,162,0.4402578636693586,0.5426657689130548,0.27083382021221153,0.0012923351902437632,4.5376515476940954e-07,2.58342999690638e-07,0.000673620928096366,0.6372138163668055,0.35481232772741145,0.8525213001377723,29.750369340093894,0.4989044154377412,0.06347782844935533,3.1280326369695075e-07,0.1842378166969681,3.878152480060723e-06,0.3698948296671284,0.16303932972263238,1.1474823427996643,0.9513264598021814,-4.152462762712473e-06,0.6832962100237137,0.11876518217636578,2.263084350723802,0.0040884918393458035,0.15,1.0,0.9173384780185316,-0.2453889103301634,58.00915705104509,-0.17022269539078155,-0.04416332665330659,0.0868860220440882,0.30613326653306616,0.6469488977955913,0.8581497995991986,0.03985296065170324,0.06715711098663202,0.10352655136807484,0.20249206950980042,0.5504142882769294,1.5673843375408683,0.08498110182257554,0.10970988430360568,0.14265544886532125,0.22560251611837184,0.559085647259196,1.5704388640285087,16.45331816646037,40.26298518211975,61.06761092906936,0.19390447032361038,0.30163826149249373,0.49722995255167307,0.5197377915990814,0.7337179790709358,0.9336265760701273,0.23054451357577452,0.3306788870568391,0.4602538686529922,0.6643863821104459,0.8071596110456651,0.8801774838913776,1.59251790199036e-07,3.4721601636628405e-07,6.529999702726362e-07,0.03917392369817899,0.1499740459079763,0.25132319407661247,0.77656592038559,0.9604244507082487,0.988888573044513,0.0005955765655964002,0.0007407312281986155,0.0009685753099143943
Kn0p025,0.025,3,60,200,0.23969512536633175,True,-0.03792585170340679,0.6956012024048097,,0.660355774366333,0.11108909331490245,0.667590256585405,7.205895373485534e-05,0.00019953450718504263,4.580571839973457e-07,2.5504576329510716e-07,0.11483038315128419,0.004581307038731246,-34.15738503330278,-81.94387695480161,47.78649192149883,0.9985041522540928,0.995391294950209,0.9980222017948148,0.9825349042559391,0.036297635928151155,0.05987737037599581,7.00340086691643,2.2084940970014717e-05,1.1951996899179465e-07,0.23349216999082084,0.000534782594643002,0.010326186926005046,0.1378663438786154,0.06363277606074631,142,0.36260567669144994,0.5177553942514002,0.26531917775482805,0.0010958934995005624,4.592053727035483e-07,2.53800989083222e-07,0.0006776469380905874,0.6440410595394898,0.4905468521963731,0.8606857864646973,29.626960203801996,0.5069581838443545,0.016034390841294606,3.2234726762972215e-07,0.2770848718053943,3.837986185051682e-06,0.37528542703352175,0.16293057675428022,1.154936436974443,0.9425737017180531,-4.044196372761013e-06,0.6897583258395004,0.11595895964590178,2.2506533839000653,0.004232335044344236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p025,0.025,5,60,200,0.23969512536633175,True,-0.04291583166332663,0.6906112224448898,,0.6475127302364484,0.1099841438545003,0.6548900579263464,6.254422091240254e-05,0.00016486680594249954,4.5980199719901496e-07,2.5277876374618216e-07,0.1181052468564746,0.004549364465514065,-33.651224331549045,-82.06981920631455,48.4185948747655,0.9984184552614275,0.9956764891392189,0.9973262240663913,0.9821797638861077,0.039004988716129334,0.05824998560845321,7.018633228845245,1.3035074227279884e-05,3.9734728352115544e-08,0.17170939369971475,0.00022221055469337,0.007584002905956134,0.10463854416870945,0.05671725175657322,138,0.3305251669678772,0.5123577750227702,0.27502721296055893,0.0010209817245540565,4.604089227691771e-07,2.5211298899269777e-07,0.0006785343932102316,0.6461680899478722,0.5635813196314969,0.8626065568455603,29.61357782590615,0.5021584594103063,0.008554528818128813,3.2104605073819154e-07,0.32760793562376556,3.884159403887752e-06,0.36941011335152185,0.16255080459238597,1.1538247405662398,0.9380899578961918,-3.351212231833859e-06,0.7394937278112776,0.11247761841980683,2.2730224538000767,0.0032931717623141082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p050,0.05,1,60,200,0.4308567067802471,False,0.10428857715430867,0.2240480961923848,0.19059451326136015,0.2880261252986372,0.26559343084860776,0.3398337764738829,0.0005013135321237016,0.0007845048058320033,1.8087297633015429e-06,0.0,0.017022885441301962,0.006736622995597177,-68.51753948066067,-75.00353733928063,6.485997858619953,0.9979680876570993,0.9869098925161439,0.9972776515494751,0.9899454336321561,0.06297699078963839,0.06953260788183437,45.597904133219245,0.00208890466236497,0.0010252143980909408,0.5775480723815352,0.261955172662717,0.7291638439135449,0.7644694913211494,0.11914857022755002,250,2.922929027303776,0.5224924860651841,0.3898789722665873,0.002890540699487732,1.117582588140687e-06,7.055236440972251e-07,0.0010571577877217227,0.6130101298424196,0.1904993033373493,0.7568100935794413,27.051355489244823,0.42807220942239405,0.13003521880733362,5.904574293844451e-07,0.07374966798179576,1.4287191358709464e-06,0.7090367741732977,0.23136773709861214,1.33873901629753,0.6496645527911342,3.1910234616397884e-06,0.7543422720160643,0.11280536480743668,1.3758362697804145,0.6031363209191292,0.225,0.375,0.5390514312958397,-0.38872960842837756,6.394194838957965,-0.012975951903807598,0.06187374749499003,0.12693061122244498,0.026694388777555138,0.2240480961923848,0.5165856713426856,0.0907774485208505,0.15706770933996098,0.21037562739066118,0.141981190598982,0.29233078803208007,0.6561177850255869,0.20990919383445397,0.243845337789248,0.2780690599387002,0.22724637830245922,0.3398337764738829,0.6759108167988747,-6.066320344261439,5.835594641283755,25.742412287056766,0.2655853794577209,0.3906160091241049,0.5196361074588032,0.30114623815231206,0.6352467532650372,0.7672961459006439,0.15656941649736722,0.19363164780460704,0.2950064423372825,0.068531319870303,0.5364936914421692,0.7403117320678255,-5.11498644305738e-07,1.2995413323973447e-06,2.7131796332618863e-06,-0.010968639402976795,0.04224641918254502,0.09939200477634441,0.072099705683905,0.7029183630321786,0.8932189141880896,0.0008387394237708616,0.001626165613889188,0.002622981661760355
Kn0p050,0.05,3,60,200,0.4308567067802471,False,0.11676352705410825,0.22654308617234475,0.20062199609797202,0.2901743444683541,0.27238744676948107,0.3416249214303693,0.0003041573805139697,0.0005924389817387523,1.8095739904078774e-06,0.0,0.01619367406191913,0.007032196863651434,-69.4164228541776,-74.23061022464375,4.814187370466158,0.998426713775577,0.9866981895991546,0.9962802416340056,0.9895887001250413,0.056678073299997286,0.07003183167142114,49.66149705798986,0.0012784011265209348,0.000499008959714547,0.613069648149517,0.20985086359144037,0.6956112060132776,0.7329326808618288,0.0940221458182761,250,2.708118413095271,0.4577250840011365,0.33923557279416827,0.0022515083111622814,1.089161634072638e-06,7.339921285915118e-07,0.001043629069196828,0.5974052525778522,0.3026598451110403,0.7815751970339953,31.234413417668925,0.3849337002105923,0.04064882928737386,6.420393257972137e-07,0.13006485225931116,1.3647803815319618e-06,0.7215966808259189,0.23234126910856662,1.32717037550794,0.681355233421417,3.4471995919105423e-06,0.7336144017305645,0.10876476566088059,1.3277856280558766,0.7086434850946977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p050,0.05,5,60,200,0.4308567067802471,False,0.12674348697394794,0.2240480961923848,0.20858771685344882,0.2880261252986372,0.2779624205157256,0.3398337764738829,0.00022953199749850634,0.0004853035069328062,1.80728738142408e-06,0.0,0.015458668304844863,0.007271296964474622,-70.25253679754366,-73.62877086899276,3.3762340714491046,0.9985172145103293,0.9876282485240859,0.9952503321309727,0.9892977147678036,0.05600622946475272,0.0701218541570072,55.98237611499688,0.0010309044866887978,0.00034494533068356076,0.6394651669710855,0.18507329133289455,0.6742553330468596,0.7226059581340231,0.08049995345355636,250,2.7384971538081073,0.41964869720047526,0.32109764564801596,0.0019558970554816456,1.1226111035779513e-06,6.960546774465656e-07,0.0010595334367437166,0.6172718018291112,0.40126680319754854,0.8014339243406335,33.96671972538965,0.35905034292620613,0.02000467010849191,7.300584282188011e-07,0.20530347584211145,1.3665016430960748e-06,0.7210360821284711,0.2317445173455324,1.3152047651071062,0.6884065380569667,3.6218067736059683e-06,0.7201781485056736,0.1072079730971604,1.3447262668618476,0.6841099054289469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kn0p075,0.075,1,60,200,0.4911648632939176,False,-0.010480961923847676,0.3463026052104209,,0.463169812404119,0.24048794652106945,0.5057818344627759,0.000976979066680052,0.001452051235851337,3.7533578257612007e-06,1.1510196668802896e-09,0.055541328907772844,0.00301128504734047,-47.23130166630447,-89.49699057542888,42.265688909124414,0.9999301295735052,0.9982180286292093,0.9992345155983063,0.9763695780306549,0.02488860910769476,0.04017216306305191,15.270137395629718,0.0010106494339482024,0.0004683010031774375,0.41456744642117566,0.15791705184559524,0.42152426540099147,0.49048308125956874,0.10614506196628884,250,0.7752242551511742,0.5435704515808654,0.40220950132318367,0.004035218016993324,2.776427311563391e-06,1.049919413915496e-06,0.0016662614775488844,0.7256078737129884,0.3248333338400135,0.6602129970079789,14.797764485083949,0.6404959950906876,0.047751295101558185,1.3993520372868675e-06,0.08615475792094289,-1.4758621418062304e-06,0.7610139415832329,0.15680428028813187,1.5737811198976412,0.41607543915077405,9.439474123000475e-06,0.37193304724348786,0.14544480559428521,1.60517094392448,0.1594691647586525,0.175,0.9,0.8889948270275376,-0.6406875743274014,35.68480703162764,-0.13036523046092183,-0.04042084168336671,0.02950125250501003,0.16622670340681364,0.3899649298597195,0.7032732965931865,0.07899565604195326,0.12048199524692664,0.15846993122336472,0.2737225087303324,0.521576576335372,1.3953425047365324,0.1889365029354776,0.22650044445078354,0.26051295887414333,0.3435105698785878,0.5595629465774137,1.4097207910767053,11.409917409300993,37.17305790919906,53.67455397775162,0.23575939140290364,0.3770854657018484,0.4779615905250357,0.42879737032154275,0.6969766823925074,0.8343540451067636,0.21757276330619102,0.3041239096586673,0.4172096569413941,0.42457366951389436,0.6541866477427218,0.7538858794482144,8.750249983821506e-07,2.1611972501161296e-06,3.4631336935922137e-06,0.018734489473270274,0.08374769902997077,0.13964983571258333,0.7817186702187122,0.9322166234224929,0.9733596938352336,0.0014145302675321399,0.001979921032102621,0.0022691966184878428
