case,Kn,variable,xi_shift,median_projection_fraction
Kn0p025,0.025,D,-1.0,0.0066719412291613624
Kn0p025,0.025,D,-0.5,0.011794501425556606
Kn0p025,0.025,D,0.0,0.023651629041743095
Kn0p025,0.025,D,0.5,0.015468543230818189
Kn0p025,0.025,D,1.0,0.011184566074360216
Kn0p025,0.025,MA,-1.0,0.008860535347145404
Kn0p025,0.025,MA,-0.5,0.01311362416477007
Kn0p025,0.025,MA,0.0,0.01726295582099887
Kn0p025,0.025,MA,0.5,0.02051867614139998
Kn0p025,0.025,MA,1.0,0.021808578286752166
Kn0p025,0.025,TTR,-1.0,0.0060232863575877555
Kn0p025,0.025,TTR,-0.5,0.008362521253910342
Kn0p025,0.025,TTR,0.0,0.009734280816053046
Kn0p025,0.025,TTR,0.5,0.004252209563062041
Kn0p025,0.025,TTR,1.0,0.014003952396030927
Kn0p025,0.025,P,-1.0,0.0073989481668636295
Kn0p025,0.025,P,-0.5,0.014677627956828063
Kn0p025,0.025,P,0.0,0.01600676992478458
Kn0p025,0.025,P,0.5,0.010761809467513317
Kn0p025,0.025,P,1.0,0.008018637271621616
