snapshot,time_star,marker_over_R,D_reference_mode_amp_over_R,D_reference_mode_spatial_corr,D_reference_mode_projection_fraction,D_uniform_amp_over_R,D_uniform_spatial_corr,D_uniform_projection_fraction,MA_reference_mode_amp_over_R,MA_reference_mode_spatial_corr,MA_reference_mode_projection_fraction,MA_uniform_amp_over_R,MA_uniform_spatial_corr,MA_uniform_projection_fraction,TTR_reference_mode_amp_over_R,TTR_reference_mode_spatial_corr,TTR_reference_mode_projection_fraction,TTR_uniform_amp_over_R,TTR_uniform_spatial_corr,TTR_uniform_projection_fraction,P_reference_mode_amp_over_R,P_reference_mode_spatial_corr,P_reference_mode_projection_fraction,P_uniform_amp_over_R,P_uniform_spatial_corr,P_uniform_projection_fraction
1,0.0,5.2188234698669796e-05,0.0005758078004126382,0.10395489622753055,0.010806620449676644,0.0008233302751048694,0.1681771025112189,0.028283537809069025,-0.00016363288260137573,-0.024472397324607934,0.0005988982308134775,-0.0006479673687491061,-0.08896755005638655,0.007915224963035646,-0.0013936235841860113,-0.16810332596813513,0.028258728201549094,-0.0012012247751241366,-0.14605023239930814,0.02133067038389192,0.0015142083417284489,0.1822549036506353,0.033216849904702354,0.0012340552954283838,0.17346138175629247,0.030088850960802233
2,0.430856706780247,0.0009887951228331234,0.0005781359012718188,0.12234548614104535,0.014968417979088718,0.0001536394950546412,0.036786312691829276,0.0013532328014610397,0.002330465326227292,0.33331160840751256,0.11109662829920301,0.0016313217129429606,0.21420024937224433,0.04588174683113165,0.0018558991039959716,0.21538425669013544,0.04639037802996216,0.002000683171990942,0.2340372926353671,0.05477345434409246,0.0003528237468937581,0.046059080331782465,0.00212143888100959,-0.0007040729393803555,-0.10733706134624815,0.011521244738448238
3,0.861713413560494,0.00028274276174337026,0.0008835991156192206,0.16681198082699197,0.02782623694742474,0.0005263025037354901,0.11241720366365296,0.012637627679555228,0.0004818424480754841,0.06272088737456351,0.00393390971305268,-2.7983957449174627e-05,-0.0033441737300928865,1.1183497937043372e-05,-0.0005110494609826145,-0.05846142068913077,0.0034177377089915275,0.00021330012665771915,0.0245948793475643,0.0006049080901212449,0.0012895133984132735,0.15345276749763861,0.023547751852684335,0.0006618955345915731,0.09198413134805727,0.008461080419856654
4,1.292570120340741,-0.001455702049549082,-0.0008534829328663692,-0.17052192907517427,0.029077728295518763,-0.0003487968397800682,-0.07884666212460525,0.006216796128191661,-0.0002682642809496607,-0.040330580218662836,0.0016265557007739979,-0.00037867414117650014,-0.05226486466750258,0.0027316160787123605,0.0006361016689462822,0.07438232968670906,0.00553273096962228,0.0011028827394147591,0.1299929303663534,0.016898161945231603,-0.001371767122902253,-0.16975874955246928,0.028818033049617987,-0.001485335279282057,-0.21465987294905856,0.046078861054505954
5,1.723426827120988,-0.0014756392245628038,-7.482266786597796e-05,-0.014741273545703896,0.00021730514574926953,-0.00035051905240477153,-0.0781337772500382,0.006104887147358588,-0.002697003250061071,-0.3359469874584843,0.11286037838243099,-0.0018756459747183087,-0.21449279691734474,0.0460071599294253,-0.0020671279678246605,-0.2375195078893079,0.05641551662797901,-0.0013432006079799135,-0.15556788742623529,0.02420136759826181,-0.0008986376241952869,-0.10021734476041828,0.01004351619082854,-0.0003280443341187385,-0.04272336282728815,0.001825285731272107
6,2.154283533901235,-0.0006128043224239073,-0.0006717857029412423,-0.1224211211677974,0.014986930907980528,0.00013877279559786613,0.028612467223006123,0.0008186732805875998,-0.0009452502722058074,-0.11924106537621802,0.014218431672055502,-0.0004952878829251279,-0.057360020983900147,0.0032901720072734653,-0.00016836098082123626,-0.02022586698995106,0.00040908569549519193,0.00017989809856149775,0.021784090140280078,0.00047454658323984775,-0.0006300245280028258,-0.07691323045359892,0.005915645018808415,0.00014352474549607724,0.020461853661847364,0.00041868745527885633
7,2.585140240681482,-0.00021880138608363787,-0.0011436767158590523,-0.21473857950832856,0.046112657529254746,-0.0010376815670708217,-0.2204429803118397,0.04859510756876615,0.0007914550317621986,0.10873033547851212,0.011822285853269793,0.0008921619231195915,0.11252285146217222,0.012661392101178073,0.00014508217442459507,0.01672700613998402,0.00027979273440706306,-0.0009994574971859108,-0.11614904492906368,0.013490600637933654,7.283270242572197e-05,0.008319411756789814,6.921261197901256e-05,-5.804423746368995e-05,-0.007742833120870293,5.9951464737646006e-05
8,3.015996947461729,0.0001921252376596811,-0.0003578275240119042,-0.07265475558473497,0.005278713509077578,-0.0005946979738071516,-0.13661932546890143,0.01866484009157762,0.0002511985850602567,0.03655577761010779,0.0013363248766796582,0.0003942023703225467,0.05266603590916503,0.0027737113383854606,0.0009324177060119166,0.10744414195062667,0.011544243639506414,6.17876727919677e-05,0.007176640979178969,5.1504175744030873e-05,0.000517467903227778,0.061962990711552896,0.00383941221791999,0.00029657698638856404,0.04147257449697302,0.001719974435406977
9,3.446853654241976,0.00047540388936764225,0.001042052565136575,0.1985516829185668,0.0394227707897951,0.0007860070902701686,0.16944774136061633,0.028712537052214333,-0.0008867029362886426,-0.13603212395133496,0.018504738746711356,-0.0006478598831987221,-0.09124666127598387,0.008325953194014135,-0.00048648140390696585,-0.059980885396001674,0.0035977066128882866,-0.0006586307202267428,-0.08185321922432723,0.006699949497385774,0.0011316130716971012,0.14973069747926768,0.022419281767627974,0.0015023808431961659,0.23214937743663264,0.053893333444216124
10,3.877710361022223,-0.0011058270072458582,-0.00018942701454823313,-0.03781752476546885,0.00143016517938685,-0.00017472259674931697,-0.03946622941724011,0.0015575832644142283,-0.0019321112176510535,-0.26378602051646294,0.06958306461991182,-0.0017204117731545023,-0.2156376656478101,0.04649960284603673,-0.0011369771684442253,-0.12074336948112932,0.014578961273656509,-0.0017631069237444095,-0.18872844035654252,0.03561842419941302,-0.0002460879641807735,-0.030945864120600935,0.0009576465061706962,0.0003614408471842485,0.05307916304313116,0.0028173975493593
